dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
Cache-Memory-Simple|TOKUHIROM|Cache-Memory-Simple-1.03|1.03|PASS
Cache-RedisDB|BINARY|Cache-RedisDB-0.12|0.12|PASS
Cache-Ref|BRUNOV|Cache-Ref-0.04|0.04|PASS
Cache-Simple-TimedExpiry|JESSE|Cache-Simple-TimedExpiry-0.27|0.27|PASS
Cairo|XAOC|Cairo-1.106|1.106|PASS
Cairo-GObject|XAOC|Cairo-GObject-1.004|1.004|PASS
Calendar-Plugin-Renderer|MANWAR|Calendar-Plugin-Renderer-0.13|0.13|PASS
Calendar-Simple|DAVECROSS|Calendar-Simple-1.23|1.23|PASS
Canary-Stability|MLEHMANN|Canary-Stability-2012|2012|PASS
Capture-Tiny|DAGOLDEN|Capture-Tiny-0.48|0.48|PASS
Carp-Always|FERREIRA|Carp-Always-0.16|0.16|PASS
Carp-Always-Color|DOY|Carp-Always-Color-0.08|0.08|FAIL
Carp-Assert|NEILB|Carp-Assert-0.21|0.21|PASS
Carp-Assert-More|PETDANCE|Carp-Assert-More-1.16|1.16|PASS
Carp-Clan|KENTNL|Carp-Clan-6.06|6.06|PASS
Carp-Clan-Share|RKRIMEN|Carp-Clan-Share-0.013|0.013|PASS
Carton|MIYAGAWA|Carton-v1.0.34|v1.0.34|UNKNOWN
Catalyst-Action-REST|JJNAPIORK|Catalyst-Action-REST-1.21|1.21|PASS
Catalyst-Action-RenderView|BOBTFISH|Catalyst-Action-RenderView-0.16|0.16|PASS
Catalyst-ActionRole-ACL|BOBTFISH|Catalyst-ActionRole-ACL-0.07|0.07|PASS
Catalyst-Authentication-Credential-HTTP|ETHER|Catalyst-Authentication-Credential-HTTP-1.018|1.018|PASS
Catalyst-Authentication-Store-DBIx-Class|ILMARI|Catalyst-Authentication-Store-DBIx-Class-0.1506|0.1506|PASS
Catalyst-Component-ACCEPT_CONTEXT|BOBTFISH|Catalyst-Component-ACCEPT_CONTEXT-0.07|0.07|PASS
Catalyst-Component-InstancePerContext|GRODITI|Catalyst-Component-InstancePerContext-0.001001|0.001001|PASS
Catalyst-Controller-ActionRole|ETHER|Catalyst-Controller-ActionRole-0.17|0.17|PASS
Catalyst-Controller-AutoAssets|VANSTYN|Catalyst-Controller-AutoAssets-0.40|0.40|PASS
Catalyst-Devel|ILMARI|Catalyst-Devel-1.39|1.39|PASS
Catalyst-DispatchType-Regex|MGRIMES|Catalyst-DispatchType-Regex-5.90035|5.90035|PASS
Catalyst-Manual|ETHER|Catalyst-Manual-5.9009|5.9009|PASS
Catalyst-Model-Adaptor|BOBTFISH|Catalyst-Model-Adaptor-0.10|0.10|PASS
Catalyst-Model-DBIC-Schema|GBJK|Catalyst-Model-DBIC-Schema-0.65|0.65|PASS
Catalyst-Plugin-Authentication|BOBTFISH|Catalyst-Plugin-Authentication-0.10023|0.10023|PASS
Catalyst-Plugin-Authorization-ACL|RKITOVER|Catalyst-Plugin-Authorization-ACL-0.16|0.16|PASS
