dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
Fennec|EXODIST|Fennec-2.018|2.018|PASS
Fennec-Lite|EXODIST|Fennec-Lite-0.004|0.004|PASS
Fey|DROLSKY|Fey-0.43|0.43|FAIL
Fey-Test|DROLSKY|Fey-Test-0.10|0.10|PASS
File-AtomicWrite|JMATES|File-AtomicWrite-1.21|1.21|PASS
File-BOM|MATTLAW|File-BOM-0.15|0.15|PASS
File-BaseDir|KIMRYAN|File-BaseDir-0.08|0.08|PASS
File-ChangeNotify|DROLSKY|File-ChangeNotify-0.29|0.29|PASS
File-ConfigDir|REHSACK|File-ConfigDir-0.021|0.021|PASS
File-Copy-Recursive|DMUEY|File-Copy-Recursive-0.44|0.44|PASS
File-Copy-Recursive-Reduced|JKEENAN|File-Copy-Recursive-Reduced-0.006|0.006|PASS
File-CountLines|MORITZ|File-CountLines-v0.0.3|v0.0.3|PASS
File-DesktopEntry|MICHIELB|File-DesktopEntry-0.22|0.22|PASS
File-DirCompare|GAVINC|File-DirCompare-0.7|0.7|PASS
File-Find-Iterator|TEXMEC|File-Find-Iterator-0.4|0.4|PASS
File-Find-Object|SHLOMIF|File-Find-Object-v0.3.2|v0.3.2|PASS
File-Find-Rule|RCLAMP|File-Find-Rule-0.34|0.34|PASS
File-Find-Rule-Perl|ETHER|File-Find-Rule-Perl-1.15|1.15|PASS
File-Find-Wanted|PETDANCE|File-Find-Wanted-1.00|1.00|PASS
File-FindLib|TYEMQ|File-FindLib-0.001004|0.001004|PASS
File-Finder|MERLYN|File-Finder-0.53|0.53|PASS
File-Flat|ADAMK|File-Flat-1.04|1.04|PASS
File-HomeDir|REHSACK|File-HomeDir-1.004|1.004|PASS
File-HomeDir-PathClass|JQUELIN|File-HomeDir-PathClass-1.112060|1.112060|PASS
File-IgnoreReadonly|ADAMK|File-IgnoreReadonly-0.01|0.01|PASS
File-LibMagic|DROLSKY|File-LibMagic-1.16|1.16|PASS
File-Listing|GAAS|File-Listing-6.04|6.04|PASS
File-MMagic|KNOK|File-MMagic-1.30|1.30|PASS
File-MMagic-XS|DMAKI|File-MMagic-XS-0.09008|0.09008|PASS
File-Map|LEONT|File-Map-0.65|0.65|PASS
File-MimeInfo|MICHIELB|File-MimeInfo-0.29|0.29|PASS
File-NCopy|CHORNY|File-NCopy-0.36|0.36|PASS
File-NFSLock|BBB|File-NFSLock-1.27|1.27|PASS
File-Next|PETDANCE|File-Next-1.16|1.16|PASS
File-Object|SKIM|File-Object-0.11|0.11|PASS
File-Path-Expand|RCLAMP|File-Path-Expand-1.02|1.02|PASS
File-Path-Tiny|DMUEY|File-Path-Tiny-0.9|0.9|PASS
File-PathList|ADAMK|File-PathList-1.04|1.04|PASS
File-Pid|CWEST|File-Pid-1.01|1.01|PASS
File-RandomLine|DAGOLDEN|File-RandomLine-0.20|0.20|PASS
File-ReadBackwards|URI|File-ReadBackwards-1.05|1.05|PASS
File-Remove|SHLOMIF|File-Remove-1.58|1.58|PASS
File-Rsync|LEAKIN|File-Rsync-0.49|0.49|PASS
File-Rules|KARMAN|File-Rules-0.02|0.02|PASS
File-SearchPath|TJENNESS|File-SearchPath-0.07|0.07|PASS
File-Share|INGY|File-Share-0.25|0.25|PASS
File-ShareDir|REHSACK|File-ShareDir-1.116|1.116|PASS
File-ShareDir-Dist|PLICEASE|File-ShareDir-Dist-0.07|0.07|PASS
File-ShareDir-Install|ETHER|File-ShareDir-Install-0.13|0.13|PASS
File-ShareDir-PathClass|JQUELIN|File-ShareDir-PathClass-1.112440|1.112440|PASS
File-ShareDir-ProjectDistDir|KENTNL|File-ShareDir-ProjectDistDir-1.000009|1.000009|PASS
File-ShareDir-Tarball|YANICK|File-ShareDir-Tarball-0.2.2|0.2.2|PASS
File-Slurp|CAPOEIRAB|File-Slurp-9999.23|9999.23|FAIL
File-Slurp-Tiny|LEONT|File-Slurp-Tiny-0.004|0.004|PASS
File-Slurper|LEONT|File-Slurper-0.012|0.012|PASS
File-Spec-Native|RWSTAUNER|File-Spec-Native-1.004|1.004|PASS
File-Sync|BRIANSKI|File-Sync-0.11|0.11|PASS
File-Tail|MGRABNAR|File-Tail-1.3|1.3|PASS
File-Tempdir|NANARDON|File-Tempdir-0.02|0.02|PASS
File-Touch|NEILB|File-Touch-0.11|0.11|PASS
File-Type|PMISON|File-Type-0.22|0.22|PASS
File-Util|TOMMY|File-Util-4.161950|4.161950|PASS
File-Which|PLICEASE|File-Which-1.22|1.22|PASS
File-XDG|AERDAN|File-XDG-0.04|0.04|PASS
File-Zglob|TOKUHIROM|File-Zglob-0.11|0.11|PASS
File-chdir|DAGOLDEN|File-chdir-0.1010|0.1010|PASS
File-chmod|XENO|File-chmod-0.42|0.42|PASS
File-is|JKUTEJ|File-is-0.04|0.04|PASS
File-pushd|DAGOLDEN|File-pushd-1.016|1.016|PASS
Filesys-Df|IGUTHRIE|Filesys-Df-0.92|0.92|PASS
Filesys-Notify-Simple|MIYAGAWA|Filesys-Notify-Simple-0.13|0.13|PASS
Filesys-Statvfs|IGUTHRIE|Filesys-Statvfs-0.82|0.82|PASS
Filesys-Virtual|XANTUS|Filesys-Virtual-0.06|0.06|PASS
Filesys-Virtual-Async|XANTUS|Filesys-Virtual-Async-0.02|0.02|PASS
Filesys-Virtual-Plain|XANTUS|Filesys-Virtual-Plain-0.10|0.10|PASS
Finance-Currency-Convert-WebserviceX|CLACO|Finance-Currency-Convert-WebserviceX-0.07001|0.07001|PASS
Find-Lib|YANNK|Find-Lib-1.04|1.04|PASS
FindBin-libs|LEMBARK|FindBin-libs-2.019002|2.019002|PASS
Flickr-API|LBMOORE|Flickr-API-1.28|1.28|PASS
Flickr-Upload|SSEVERIN|Flickr-Upload-1.6|1.6|PASS
Font-AFM|GAAS|Font-AFM-1.20|1.20|PASS
Font-TTF|BHALLISSY|Font-TTF-1.06|1.06|PASS
Forest|STEVAN|Forest-0.10|0.10|PASS
FormValidator-Lite|TOKUHIROM|FormValidator-Lite-0.40|0.40|PASS
FormValidator-Simple|LYOKATO|FormValidator-Simple-0.29|0.29|PASS
Format-Human-Bytes|SEWI|Format-Human-Bytes-0.06|0.06|PASS
FreezeThaw|ILYAZ|FreezeThaw-0.5001|0.5001|PASS
Function-Fallback-CoreOrPP|PERLANCAR|Function-Fallback-CoreOrPP-0.08|0.08|PASS
Function-Parameters|MAUKE|Function-Parameters-2.001003|2.001003|PASS
Functional-Utility|BELDEN|Functional-Utility-1.02|1.02|PASS
Fuse|DPATES|Fuse-0.16|0.16|FAIL
Future|PEVANS|Future-0.39|0.39|PASS
GD|RURBAN|GD-2.69|2.69|PASS
GD-Barcode|KWITKNR|GD-Barcode-1.15|1.15|PASS
GD-SecurityImage|BURAK|GD-SecurityImage-1.73|1.73|PASS
GDGraph|RUZ|GDGraph-1.54|1.54|PASS
GDTextUtil|MVERB|GDTextUtil-0.86|0.86|PASS
GSSAPI|AGROLMS|GSSAPI-0.28|0.28|PASS
Games-Word|DOY|Games-Word-0.06|0.06|PASS
Gearman|PALIK|Gearman-2.004.015|2.004.015|PASS
Gearman-Server|PALIK|Gearman-Server-v1.130.1|v1.130.1|PASS
Gearman-XS|KROW|Gearman-XS-0.15|0.15|FAIL
Geo-Constants|MRDVT|Geo-Constants-0.06|0.06|PASS
Geo-Coordinates-Converter|YAPPO|Geo-Coordinates-Converter-0.13|0.13|PASS
Geo-Distance|BLUEFEET|Geo-Distance-0.20|0.20|PASS
Geo-Ellipsoids|MRDVT|Geo-Ellipsoids-0.16|0.16|PASS
Geo-Forward|MRDVT|Geo-Forward-0.14|0.14|PASS
Geo-Functions|MRDVT|Geo-Functions-0.07|0.07|PASS
Geo-IP|MAXMIND|Geo-IP-1.51|1.51|PASS
Geo-Point|MARKOV|Geo-Point-0.97|0.97|PASS
Geo-Proj4|MARKOV|Geo-Proj4-1.09|1.09|PASS
Geography-Countries|ABIGAIL|Geography-Countries-2009041301|2009041301|PASS
Geometry-Primitive|GPHAT|Geometry-Primitive-0.24|0.24|PASS
Getopt-Alt|IVANWILLS|Getopt-Alt-v0.4.8|v0.4.8|PASS
Getopt-ArgvFile|JSTENZEL|Getopt-ArgvFile-1.11|1.11|PASS
Getopt-Attribute|MARCEL|Getopt-Attribute-2.101700|2.101700|PASS
Getopt-Compact|ASW|Getopt-Compact-0.04|0.04|PASS
Getopt-Compact-WithCmd|XAICRON|Getopt-Compact-WithCmd-0.22|0.22|PASS
Getopt-Easy|JONBJ|Getopt-Easy-0.1|0.1|PASS
Getopt-Euclid|FANGLY|Getopt-Euclid-0.4.5|0.4.5|PASS
Getopt-Long-Descriptive|RJBS|Getopt-Long-Descriptive-0.103|0.103|PASS
Getopt-Lucid|DAGOLDEN|Getopt-Lucid-1.09|1.09|PASS
Getopt-Std-Strict|LEOCHARRE|Getopt-Std-Strict-1.01|1.01|PASS
Getopt-Usaginator|ROKR|Getopt-Usaginator-0.0012|0.0012|PASS
Git|MSOUTH|Git-0.42|0.42|PASS
Git-PurePerl|BROQ|Git-PurePerl-0.53|0.53|PASS
Git-Repository|BOOK|Git-Repository-1.322|1.322|PASS
Git-Repository-Plugin-AUTOLOAD|BOOK|Git-Repository-Plugin-AUTOLOAD-1.003|1.003|PASS
Git-Repository-Plugin-Log|BOOK|Git-Repository-Plugin-Log-1.314|1.314|PASS
Git-Version-Compare|BOOK|Git-Version-Compare-1.004|1.004|PASS
Git-Wrapper|GENEHACK|Git-Wrapper-0.048|0.048|PASS
Git-Wrapper-Plus|KENTNL|Git-Wrapper-Plus-0.004011|0.004011|PASS
Glib|XAOC|Glib-1.328|1.328|PASS
Glib-Object-Introspection|XAOC|Glib-Object-Introspection-0.046|0.046|UNKNOWN
GnuPG-Interface|ALEXMV|GnuPG-Interface-0.52|0.52|NA
Google-ProtocolBuffers|SAXJAZMAN|Google-ProtocolBuffers-0.12|0.12|PASS
Graph|JHI|Graph-0.9704|0.9704|PASS
Graph-ChuLiuEdmonds|PAJAS|Graph-ChuLiuEdmonds-0.06|0.06|PASS
Graph-Easy|SHLOMIF|Graph-Easy-0.76|0.76|PASS
Graph-ReadWrite|NEILB|Graph-ReadWrite-2.09|2.09|PASS
GraphViz|RSAVAGE|GraphViz-2.24|2.24|PASS
Graphics-Color|GPHAT|Graphics-Color-0.31|0.31|PASS
Graphics-ColorNames|RRWO|Graphics-ColorNames-v3.2.1|v3.2.1|PASS
Graphics-ColorNames-WWW|CFAERBER|Graphics-ColorNames-WWW-1.13|1.13|PASS
Graphics-ColorUtils|JANERT|Graphics-ColorUtils-0.17|0.17|PASS
Graphics-Primitive|GPHAT|Graphics-Primitive-0.67|0.67|PASS
Gravatar-URL|MSCHWERN|Gravatar-URL-1.07|1.07|PASS
Gtk2|XAOC|Gtk2-1.24992|1.24992|PASS
Gtk2-Ex-Utils|KCK|Gtk2-Ex-Utils-0.09|0.09|PASS
Gtk2-GladeXML|TSCH|Gtk2-GladeXML-1.007|1.007|UNKNOWN
Gtk2-MozEmbed|TSCH|Gtk2-MozEmbed-0.09|0.09|NA
Gtk2-WebKit|FLORA|Gtk2-WebKit-0.09|0.09|NA
Gtk3|XAOC|Gtk3-0.034|0.034|PASS
Guard|MLEHMANN|Guard-1.023|1.023|PASS
Gzip-Faster|BKB|Gzip-Faster-0.21|0.21|PASS
HTML-DOM|SPROUT|HTML-DOM-0.058|0.058|FAIL
HTML-Declare|BINGOS|HTML-Declare-2.6|2.6|PASS
HTML-Element-Extended|MSISK|HTML-Element-Extended-1.18|1.18|PASS
HTML-Encoding|BJOERN|HTML-Encoding-0.61|0.61|PASS
HTML-Entities-Interpolate|RSAVAGE|HTML-Entities-Interpolate-1.10|1.10|PASS
HTML-Escape|TOKUHIROM|HTML-Escape-1.10|1.10|PASS
HTML-FillInForm|MARKSTOS|HTML-FillInForm-2.21|2.21|PASS
HTML-FillInForm-Lite|GFUJI|HTML-FillInForm-Lite-1.15|1.15|PASS
HTML-Form|GAAS|HTML-Form-6.03|6.03|PASS
HTML-FormFu|CFRANKS|HTML-FormFu-2.06|2.06|PASS
HTML-FormFu-Model-DBIC|CFRANKS|HTML-FormFu-Model-DBIC-2.03|2.03|PASS
HTML-FormHandler|GSHANK|HTML-FormHandler-0.40068|0.40068|PASS
HTML-FormatText-WithLinks|STRUAN|HTML-FormatText-WithLinks-0.15|0.15|PASS
HTML-Formatter|NIGELM|HTML-Formatter-2.16|2.16|PASS
HTML-FromANSI|NUFFIN|HTML-FromANSI-2.03|2.03|PASS
HTML-HTML5-Entities|TOBYINK|HTML-HTML5-Entities-0.004|0.004|PASS
HTML-HTML5-Parser|TOBYINK|HTML-HTML5-Parser-0.301|0.301|PASS
HTML-HTML5-Sanity|TOBYINK|HTML-HTML5-Sanity-0.105|0.105|PASS
HTML-HTML5-Writer|TOBYINK|HTML-HTML5-Writer-0.201|0.201|PASS
HTML-Lint|PETDANCE|HTML-Lint-2.32|2.32|PASS
HTML-Mason|DROLSKY|HTML-Mason-1.58|1.58|PASS
HTML-Packer|LEEJO|HTML-Packer-2.07|2.07|PASS
HTML-Parser|GAAS|HTML-Parser-3.72|3.72|PASS
HTML-Prototype|ESSKAR|HTML-Prototype-1.48|1.48|PASS
HTML-ResolveLink|MIYAGAWA|HTML-ResolveLink-0.05|0.05|PASS
HTML-Restrict|OALDERS|HTML-Restrict-v2.3.0|v2.3.0|PASS
HTML-Scrubber|NIGELM|HTML-Scrubber-0.17|0.17|PASS
HTML-Selector-XPath|CORION|HTML-Selector-XPath-0.23|0.23|PASS
HTML-SimpleLinkExtor|BDFOY|HTML-SimpleLinkExtor-1.271|1.271|PASS
HTML-StickyQuery|IKEBE|HTML-StickyQuery-0.13|0.13|PASS
HTML-Strip|KILINRAX|HTML-Strip-2.10|2.10|PASS
HTML-StripScripts|DRTECH|HTML-StripScripts-1.06|1.06|PASS
HTML-StripScripts-Parser|DRTECH|HTML-StripScripts-Parser-1.03|1.03|PASS
HTML-Table|AJPEACOCK|HTML-Table-2.08a|2.08a|PASS
HTML-TableExtract|MSISK|HTML-TableExtract-2.15|2.15|FAIL
HTML-TagCloud|ROBERTSD|HTML-TagCloud-0.38|0.38|PASS
HTML-Tagset|PETDANCE|HTML-Tagset-3.20|3.20|PASS
HTML-Template|SAMTREGAR|HTML-Template-2.97|2.97|PASS
HTML-Template-Compiled|TINITA|HTML-Template-Compiled-1.003|1.003|PASS
HTML-Template-Pro|VIY|HTML-Template-Pro-0.9510|0.9510|PASS
HTML-Tidy|PETDANCE|HTML-Tidy-1.60|1.60|PASS
HTML-Tiny|ANDYA|HTML-Tiny-1.05|1.05|PASS
HTML-TokeParser-Simple|OVID|HTML-TokeParser-Simple-3.16|3.16|PASS
HTML-Tree|KENTNL|HTML-Tree-5.07|5.07|PASS
HTML-TreeBuilder-LibXML|TOKUHIROM|HTML-TreeBuilder-LibXML-0.26|0.26|PASS
HTML-TreeBuilder-XPath|MIROD|HTML-TreeBuilder-XPath-0.14|0.14|PASS
HTML-Widget|CFRANKS|HTML-Widget-1.11|1.11|FAIL
HTML-Widget-Factory|RJBS|HTML-Widget-Factory-0.204|0.204|PASS
HTML-WikiConverter|DIBERRI|HTML-WikiConverter-0.68|0.68|FAIL
HTTP-Async|KAORU|HTTP-Async-0.33|0.33|PASS
HTTP-Body|GETTY|HTTP-Body-1.22|1.22|PASS
HTTP-BrowserDetect|OALDERS|HTTP-BrowserDetect-3.19|3.19|PASS
HTTP-CookieJar|DAGOLDEN|HTTP-CookieJar-0.008|0.008|PASS
HTTP-CookieMonster|OALDERS|HTTP-CookieMonster-0.09|0.09|PASS
HTTP-Cookies|OALDERS|HTTP-Cookies-6.04|6.04|PASS
HTTP-DAV|COSIMO|HTTP-DAV-0.48|0.48|PASS
HTTP-Daemon|GAAS|HTTP-Daemon-6.01|6.01|PASS
HTTP-Daemon-SSL|AUFFLICK|HTTP-Daemon-SSL-1.04|1.04|FAIL
HTTP-Date|GAAS|HTTP-Date-6.02|6.02|PASS
HTTP-Engine|YAPPO|HTTP-Engine-0.03005|0.03005|FAIL
HTTP-Entity-Parser|KAZEBURO|HTTP-Entity-Parser-0.21|0.21|PASS
HTTP-Exception|TMUELLER|HTTP-Exception-0.04007|0.04007|PASS
HTTP-Headers-ActionPack|DROLSKY|HTTP-Headers-ActionPack-0.09|0.09|PASS
HTTP-Headers-Fast|TOKUHIROM|HTTP-Headers-Fast-0.21|0.21|PASS
HTTP-Link-Parser|TOBYINK|HTTP-Link-Parser-0.200|0.200|PASS
HTTP-Lite|NEILB|HTTP-Lite-2.44|2.44|PASS
HTTP-Message|OALDERS|HTTP-Message-6.18|6.18|PASS
HTTP-MobileAgent|KURIHARA|HTTP-MobileAgent-0.36|0.36|PASS
HTTP-MultiPartParser|CHANSEN|HTTP-MultiPartParser-0.02|0.02|PASS
HTTP-Negotiate|GAAS|HTTP-Negotiate-6.01|6.01|PASS
HTTP-OAI|HOCHSTEN|HTTP-OAI-4.07|4.07|PASS
HTTP-Online|ADAMK|HTTP-Online-0.02|0.02|PASS
HTTP-Parser|EDECA|HTTP-Parser-0.06|0.06|PASS
HTTP-Parser-XS|KAZUHO|HTTP-Parser-XS-0.17|0.17|PASS
HTTP-Request-AsCGI|FLORA|HTTP-Request-AsCGI-1.2|1.2|PASS
HTTP-Request-Params|KIZ|HTTP-Request-Params-1.02|1.02|PASS
HTTP-Request-StreamingUpload|YAPPO|HTTP-Request-StreamingUpload-0.01|0.01|PASS
HTTP-Response-Encoding|DANKOGAI|HTTP-Response-Encoding-0.06|0.06|PASS
HTTP-Response-Stringable|IRONCAMEL|HTTP-Response-Stringable-0.0002|0.0002|PASS
HTTP-Server-Simple|BPS|HTTP-Server-Simple-0.52|0.52|PASS
HTTP-Server-Simple-PSGI|MIYAGAWA|HTTP-Server-Simple-PSGI-0.16|0.16|PASS
HTTP-Server-Simple-Static|SJQUINNEY|HTTP-Server-Simple-Static-0.14|0.14|PASS
HTTP-Session|TOKUHIROM|HTTP-Session-0.49|0.49|PASS
HTTP-Session2|TOKUHIROM|HTTP-Session2-1.10|1.10|PASS
HTTP-StreamParser|TEAM|HTTP-StreamParser-0.101|0.101|PASS
HTTP-Thin|PERIGRIN|HTTP-Thin-0.006|0.006|PASS
HTTP-Throwable|RJBS|HTTP-Throwable-0.026|0.026|PASS
HTTP-Tiny-Mech|KENTNL|HTTP-Tiny-Mech-1.001002|1.001002|PASS
HTTP-Tiny-Multipart|RENEEB|HTTP-Tiny-Multipart-0.08|0.08|PASS
HTTP-Tiny-UA|DAGOLDEN|HTTP-Tiny-UA-0.006|0.006|PASS
HTTP-Tinyish|MIYAGAWA|HTTP-Tinyish-0.15|0.15|PASS
HTTP-XSCookies|GONZUS|HTTP-XSCookies-0.000021|0.000021|PASS
Hash-AsObject|NKUITSE|Hash-AsObject-0.13|0.13|PASS
Hash-AutoHash|NATG|Hash-AutoHash-1.17|1.17|PASS
Hash-FieldHash|GFUJI|Hash-FieldHash-0.15|0.15|PASS
Hash-Flatten|BBC|Hash-Flatten-1.19|1.19|PASS
Hash-Layout|VANSTYN|Hash-Layout-1.02|1.02|PASS
Hash-Merge|REHSACK|Hash-Merge-0.300|0.300|PASS
Hash-Merge-Simple|ROKR|Hash-Merge-Simple-0.051|0.051|PASS
Hash-MoreUtils|REHSACK|Hash-MoreUtils-0.06|0.06|PASS
Hash-MostUtils|BELDEN|Hash-MostUtils-1.07|1.07|PASS
Hash-MultiValue|ARISTOTLE|Hash-MultiValue-0.16|0.16|PASS
Hash-Objectify|DAGOLDEN|Hash-Objectify-0.008|0.008|PASS
Hash-Rename|MARCEL|Hash-Rename-2.00|2.00|PASS
Hash-Slice|RKRIMEN|Hash-Slice-0.03|0.03|PASS
Hash-StoredIterator|MSCHWERN|Hash-StoredIterator-0.008|0.008|PASS
Hash-Util-FieldHash-Compat|ETHER|Hash-Util-FieldHash-Compat-0.11|0.11|PASS
Heap|JMM|Heap-0.80|0.80|PASS
Hook-AfterRuntime|PTC|Hook-AfterRuntime-0.006|0.006|PASS
Hook-LexWrap|ETHER|Hook-LexWrap-0.26|0.26|PASS
I18N-AcceptLanguage|CGILMORE|I18N-AcceptLanguage-1.04|1.04|PASS
I18N-Charset|MTHURN|I18N-Charset-1.417|1.417|PASS
IO-AIO|MLEHMANN|IO-AIO-4.6|4.6|PASS
IO-All|FREW|IO-All-0.87|0.87|PASS
IO-All-LWP|ITUB|IO-All-LWP-0.14|0.14|PASS
IO-Async|PEVANS|IO-Async-0.72|0.72|PASS
IO-Async-SSL|PEVANS|IO-Async-SSL-0.22|0.22|PASS
IO-Capture|REYNOLDS|IO-Capture-0.05|0.05|PASS
IO-CaptureOutput|DAGOLDEN|IO-CaptureOutput-1.1104|1.1104|PASS
IO-Digest|CLKAO|IO-Digest-0.11|0.11|PASS
IO-Event|MUIR|IO-Event-0.813|0.813|PASS
IO-FDPass|MLEHMANN|IO-FDPass-1.2|1.2|PASS
IO-HTML|CJM|IO-HTML-1.001|1.001|PASS
IO-Handle-Record|OPI|IO-Handle-Record-0.15|0.15|PASS
IO-Handle-Util|ETHER|IO-Handle-Util-0.02|0.02|PASS
IO-Interactive|BDFOY|IO-Interactive-1.022|1.022|PASS
IO-Interactive-Tiny|DMUEY|IO-Interactive-Tiny-0.2|0.2|PASS
IO-Interface|LDS|IO-Interface-1.09|1.09|PASS
IO-LockedFile|RANI|IO-LockedFile-0.23|0.23|PASS
IO-Null|SBURKE|IO-Null-1.01|1.01|PASS
IO-Pager|JPIERCE|IO-Pager-0.4|0.40|PASS
IO-Pipely|RCAPUTO|IO-Pipely-0.005|0.005|PASS
IO-Prompt|DCONWAY|IO-Prompt-0.997004|0.997004|PASS
IO-Prompt-Simple|XAICRON|IO-Prompt-Simple-0.07|0.07|PASS
IO-Prompt-Tiny|DAGOLDEN|IO-Prompt-Tiny-0.003|0.003|PASS
IO-Prompter|DCONWAY|IO-Prompter-0.004014|0.004014|PASS
IO-Pty-Easy|DOY|IO-Pty-Easy-0.10|0.10|PASS
IO-SessionData|PHRED|IO-SessionData-1.03|1.03|PASS
IO-Socket-INET6|SHLOMIF|IO-Socket-INET6-2.72|2.72|PASS
IO-Socket-Multicast|BRAMBLE|IO-Socket-Multicast-1.12|1.12|PASS
IO-Socket-SSL|SULLR|IO-Socket-SSL-2.060|2.060|PASS
IO-Socket-Socks|OLEG|IO-Socket-Socks-0.74|0.74|PASS
IO-Socket-Timeout|DAMS|IO-Socket-Timeout-0.32|0.32|PASS
IO-Stream|POWERMAN|IO-Stream-v2.0.3|v2.0.3|PASS
IO-String|GAAS|IO-String-1.08|1.08|PASS
IO-Stty|TODDR|IO-Stty-0.03|0.03|PASS
IO-Tee|NEILB|IO-Tee-0.65|0.65|PASS
IO-Termios|PEVANS|IO-Termios-0.07|0.07|PASS
IO-TieCombine|RJBS|IO-TieCombine-1.005|1.005|PASS
IO-Tty|TODDR|IO-Tty-1.12|1.12|PASS
IO-Util|DOMIZIO|IO-Util-1.5|1.5|FAIL
IO-stringy|DSKOLL|IO-stringy-2.111|2.111|PASS
IPC-Run|TODDR|IPC-Run-20180523.0|20180523.0|PASS
IPC-Run3|RJBS|IPC-Run3-0.048|0.048|PASS
IPC-ShareLite|ANDYA|IPC-ShareLite-0.17|0.17|PASS
IPC-Signal|ROSCH|IPC-Signal-1.00|1.00|PASS
IPC-System-Simple|PJF|IPC-System-Simple-1.25|1.25|PASS
IRC-Utils|HINRIK|IRC-Utils-0.12|0.12|PASS
IRI|GWILLIAMS|IRI-0.008|0.008|PASS
Icon-FamFamFam-Silk|TOBYINK|Icon-FamFamFam-Silk-0.002001003|0.002001003|PASS
Ima-DBI|PERRIN|Ima-DBI-0.35|0.35|PASS
Image-Base|KRYDE|Image-Base-1.17|1.17|PASS
Image-ExifTool|EXIFTOOL|Image-ExifTool-11.11|11.11|PASS
Image-Imlib2|LBROCARD|Image-Imlib2-2.03|2.03|PASS
Image-Info|SREZIC|Image-Info-1.41|1.41|PASS
Image-PNG-Libpng|BKB|Image-PNG-Libpng-0.46|0.46|PASS
Image-Resize|SHERZODR|Image-Resize-0.5|0.5|PASS
Image-Size|RJRAY|Image-Size-3.300|3.300|PASS
Imager|TONYC|Imager-1.006|1.006|PASS
Import-Base|PREACTION|Import-Base-1.004|1.004|PASS
Import-Into|HAARG|Import-Into-1.002005|1.002005|PASS
Importer|EXODIST|Importer-0.025|0.025|PASS
InfluxDB-LineProtocol|DOMM|InfluxDB-LineProtocol-1.010|1.010|PASS
Inline|INGY|Inline-0.80|0.80|PASS
Inline-C|TINITA|Inline-C-0.78|0.78|PASS
Inline-CPP|DAVIDO|Inline-CPP-0.75|0.75|PASS
Inline-Files|AMBS|Inline-Files-0.69|0.69|PASS
Inline-Java|ETJ|Inline-Java-0.66|0.66|NA
Inline-Module|INGY|Inline-Module-0.34|0.34|PASS
Iterator|ROODE|Iterator-0.03|0.03|PASS
Iterator-Simple|MICHAEL|Iterator-Simple-0.07|0.07|PASS
Iterator-Util|ROODE|Iterator-Util-0.02|0.02|PASS
JE|SPROUT|JE-0.066|0.066|FAIL
JS|INGY|JS-0.29|0.29|PASS
JSON|ISHIGAKI|JSON-2.97001|2.97001|PASS
JSON-Any|ETHER|JSON-Any-1.39|1.39|PASS
JSON-Color|PERLANCAR|JSON-Color-0.12|0.12|PASS
JSON-Hyper|TOBYINK|JSON-Hyper-0.011|0.011|PASS
JSON-MaybeXS|HAARG|JSON-MaybeXS-1.004000|1.004000|PASS
JSON-Parse|BKB|JSON-Parse-0.55|0.55|PASS
JSON-Path|POPEFELIX|JSON-Path-0.420|0.420|PASS
JSON-Pointer|ZIGOROU|JSON-Pointer-0.07|0.07|PASS
JSON-RPC|DMAKI|JSON-RPC-1.06|1.06|PASS
JSON-RPC-Common|DMCBRIDE|JSON-RPC-Common-0.11|0.11|PASS
JSON-Schema|TOBYINK|JSON-Schema-0.016|0.016|PASS
JSON-Tiny|DAVIDO|JSON-Tiny-0.58|0.58|PASS
JSON-Validator|JHTHORSEN|JSON-Validator-2.13|2.13|PASS
JSON-WebToken|XAICRON|JSON-WebToken-0.10|0.10|PASS
JSON-XS|MLEHMANN|JSON-XS-3.04|3.04|PASS
JSON-XS-VersionOneAndTwo|LBROCARD|JSON-XS-VersionOneAndTwo-0.31|0.31|PASS
JavaScript-Minifier|ZOFFIX|JavaScript-Minifier-1.14|1.14|PASS
JavaScript-Minifier-XS|GTERMARS|JavaScript-Minifier-XS-0.11|0.11|PASS
JavaScript-Packer|LEEJO|JavaScript-Packer-2.04|2.04|PASS
JavaScript-V8|DGL|JavaScript-V8-0.07|0.07|FAIL
JavaScript-Value-Escape|KAZEBURO|JavaScript-Value-Escape-0.07|0.07|PASS
Jcode|DANKOGAI|Jcode-2.07|2.07|PASS
Jemplate|INGY|Jemplate-0.30|0.30|PASS
Jifty-DBI|ALEXMV|Jifty-DBI-0.78|0.78|PASS
Kavorka|TOBYINK|Kavorka-0.039|0.039|FAIL
KeyedMutex|KAZUHO|KeyedMutex-0.06|0.06|FAIL
Keyword-Declare|DCONWAY|Keyword-Declare-0.001010|0.001010|PASS
Keyword-Simple|MAUKE|Keyword-Simple-0.04|0.04|PASS
KinoSearch|CREAMYG|KinoSearch-0.315|0.315|FAIL
Kwalify|SREZIC|Kwalify-1.22|1.22|PASS
Kwiki|INGY|Kwiki-0.39|0.39|PASS
Kwiki-Cache|INGY|Kwiki-Cache-0.11|0.11|PASS
Kwiki-UserName|INGY|Kwiki-UserName-0.14|0.14|PASS
Kwiki-UserPreferences|INGY|Kwiki-UserPreferences-0.13|0.13|PASS
L|SONGMU|L-v1.0.0|v1.0.0|PASS
